ID;VALOR_PARCELA;P1;P2;P3;P4;P5;P6;P7;P8;P9;P10;P11;P12;P13;P14;P15;VALOR_TOTAL;TOTAL_PARCELAS;PARCELAS_PAGAS;PARCELAS_NAO_PAGAS;VALOR_TTN_PAGO;VALOR_TT_PAGO
1;112,36;0;;;;;;;;;;;;;;;112,36;1;1;0;0;112,36
2;74,91;0;;;;;;;;;;;;;;;74,91;1;1;0;0;74,91
3;114,44;0;0;0;0;0;0;0;0;0;0;;;;;;1144,4;10;10;0;0;1144,4
4;145,76;0;0;0;0;0;0;0;0;0;0;;;;;;1457,6;10;10;0;0;1457,6
5;36,64;0;0;0;0;0;0;;;;;;;;;;219,84;6;6;0;0;219,84
6;131;0;0;;;;;;;;;;;;;;262;2;2;0;0;262
7;30,79;0;0;0;0;0;0;;;;;;;;;;184,74;6;6;0;0;184,74
8;126,45;0;0;0;0;0;0;0;0;;;;;;;;1011,6;8;8;0;0;1011,6
9;29,66;0;0;0;0;0;0;;;;;;;;;;177,96;6;6;0;0;177,96
10;21,66;0;0;0;;;;;;;;;;;;;64,98;3;3;0;0;64,98
11;46;0;0;0;0;0;0;;;;;;;;;;276;6;6;0;0;276
12;291,55;1;1;1;1;1;1;1;1;1;1;1;1;;;;3498,6;12;0;12;3498,6;0
13;18,83;0;0;0;0;0;0;;;;;;;;;;112,98;6;6;0;0;112,98
14;179,62;0;0;0;0;0;0;;;;;;;;;;1077,72;6;6;0;0;1077,72
15;13,9;0;0;0;0;0;0;;;;;;;;;;83,4;6;6;0;0;83,4
16;125,51;0;0;0;0;0;0;;;;;;;;;;753,06;6;6;0;0;753,06
17;110,07;0;0;0;0;0;0;0;0;;;;;;;;880,56;8;8;0;0;880,56
18;19,62;0;0;0;0;0;0;;;;;;;;;;117,72;6;6;0;0;117,72
19;69,95;0;0;0;0;0;;;;;;;;;;;349,75;5;5;0;0;349,75
20;172,2;0;0;0;0;0;0;0;0;0;0;0;0;;;;2066,4;12;12;0;0;2066,4
21;80,95;0;0;0;0;0;0;;;;;;;;;;485,7;6;6;0;0;485,7
